klantnr;huidig_contractduur;VERBRUIKGAS;VERBRUIKEL;VERBRUIKHOOG;VERBRUIKLAAG;nieuwsbrief;wervingskanaal;vast_variabel;grijs_groen;startlevering;eindlevering;contract_verlengd;welstand;levensfase;bouwjaar;soort_woning;inkomen;opleiding
10135;12;0;3047;0;0;Y;Online;vaste prijs;grijze stroom;11-10-2002;3-11-2004;niet verlengd;Laag;Alleenstaand;1940 tot 1969;Hoge flat;tussen modaal en 2 keer modaal keer modaal of meer;Midden
10150;12;0;0;3247;3257;Y;Online;vaste prijs;grijze stroom;11-10-2002;11-10-2005;niet verlengd;Hoog;Paar met kinderen;1970 tot 1989;Rijtjeshuis;modaal;Hoog
10159;12;0;2426;0;0;N;Online;vaste prijs;grijze stroom;11-10-2002;5-1-2007;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Hoog
10193;36;1616;2092;0;0;Y;Inbound;variabele prijs;groene stroom;17-10-2002;26-3-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Lage flat;modaal;Laag
10206;12;0;2787;0;0;Y;Online;vaste prijs;groene stroom;11-10-2002;5-2-2009;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
10209;36;2167;0;2549;2106;Y;Speciale sales acties;variabele prijs;grijze stroom;11-10-2002;16-8-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Rijtjeshuis;Onbekend;Midden
10845;36;1638;1924;0;0;Y;Telemarketing;variabele prijs;grijze stroom;22-11-2002;1-1-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Vrijstaand;modaal;Midden
10848;36;1403;0;3010;6934;Y;Online;variabele prijs;groene stroom;22-11-2002;25-3-2012;niet verlengd;Laag;Paar met kinderen;Voor 1899;Etage;tussen modaal en 2 keer modaal;Hoog
10859;12;0;1630;0;0;Y;Prijsvergelijker;vaste prijs;grijze stroom;22-11-2002;21-6-2006;niet verlengd;Hoog;Paar met kinderen;1900 tot 1939;Hoge flat;tussen modaal en 2 keer modaal;Midden
10871;12;0;0;8089;8828;Y;Online;variabele prijs;grijze stroom;22-11-2002;1-7-2005;niet verlengd;Laag;Paar met kinderen;1940 tot 1969;Rijtjeshuis;tussen modaal en 2 keer modaal;Midden
10886;36;3595;0;7624;3517;Y;Telemarketing;variabele prijs;grijze stroom;22-11-2002;24-5-2011;niet verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;tussen modaal en 2 keer modaal;Laag
10895;36;1804;3633;0;0;Y;Prijsvergelijker;variabele prijs;grijze stroom;28-11-2002;3-5-2012;niet verlengd;Midden;Paar met kinderen;Voor 1899;Twee onder een kap;Onbekend;Midden
10903;99;1194;2353;0;0;Y;Telemarketing;vaste prijs;grijze stroom;22-11-2002;2-11-2008;verlengd;Midden;Paar met kinderen;Voor 1899;Rijtjeshuis;modaal;Midden
10922;12;0;0;2206;1640;Y;Online;vaste prijs;grijze stroom;28-11-2002;11-1-2006;niet verlengd;Midden;Paar zonder kinderen;Onbekend;Studenten en flats;tussen modaal en 2 keer modaal;Laag
20010;99;0;4542;0;0;Y;Online;variabele prijs;grijze stroom;21-11-2002;21-2-2017;verlengd;Laag;Paar zonder kinderen; ; ; ;Midden
20016;36;1690;4955;0;0;Y;Telemarketing;variabele prijs;grijze stroom;23-12-2002;1-1-2012;niet verlengd;Hoog;Paar met kinderen;Voor 1899;Vrijstaand;Onbekend;Hoog
